review_id,user_id,review_text,review_date,location,service_category,rating,sentiment_score,visit_frequency,recommendation_likelihood,customer_segment,demand_prediction
R0050,U1804,"Average Hotel experience in Tokyo, Japan. Nothing special.",2024-08-18,"Tokyo, Japan",Hotel,3,0.18,2,0.12,Budget Traveler,Medium
R0051,U7210,"Fantastic Adventure Tour experience at Tokyo, Japan. Highly recommend!",2024-11-01,"Tokyo, Japan",Adventure Tour,5,0.93,1,0.19,Solo Traveler,Medium
R0052,U3656,"Disappointing Adventure Tour experience at Tokyo, Japan. Would not recommend.",2024-10-15,"Tokyo, Japan",Adventure Tour,2,-0.34,3,0.96,Family Tourist,Medium
R0053,U8730,"Great Transport experience in Tokyo, Japan. A few minor issues but overall satisfied.",2024-05-30,"Tokyo, Japan",Transport,4,0.61,2,0.34,Budget Traveler,Medium
R0054,U9626,"Decent Adventure Tour in Rome, Italy, but room for improvement.",2024-05-25,"Rome, Italy",Adventure Tour,3,0.08,2,0.25,Family Tourist,Medium
R0055,U8648,"Not impressed with the City Tour in Sydney, Australia. Several issues encountered.",2024-12-03,"Sydney, Australia",City Tour,2,-0.29,5,0.62,Business Traveler,Medium
R0056,U7770,"Disappointing Adventure Tour experience at Rome, Italy. Would not recommend.",2024-05-31,"Rome, Italy",Adventure Tour,2,-0.32,5,0.07,Luxury Seeker,Low
R0057,U5186,"Enjoyed the Restaurant at Sydney, Australia. Would recommend to others.",2025-02-13,"Sydney, Australia",Restaurant,4,0.67,4,0.62,Budget Traveler,Medium
R0058,U2312,"Great Adventure Tour experience in Rome, Italy. A few minor issues but overall satisfied.",2024-10-05,"Rome, Italy",Adventure Tour,4,0.46,1,0.15,Budget Traveler,Medium
R0059,U8109,"Fantastic Restaurant experience at Tokyo, Japan. Highly recommend!",2024-09-11,"Tokyo, Japan",Restaurant,5,0.73,1,0.71,Luxury Seeker,High
R0060,U2007,"Worst Transport I've had in Sydney, Australia. Completely dissatisfied.",2025-01-31,"Sydney, Australia",Transport,1,-0.46,1,0.78,Business Traveler,Medium
R0061,U7407,"The best City Tour I've ever had in Tokyo, Japan. Will come back again!",2025-02-27,"Tokyo, Japan",City Tour,5,0.71,2,0.64,Luxury Seeker,Medium
R0062,U8550,"Not impressed with the Adventure Tour in Tokyo, Japan. Several issues encountered.",2025-03-05,"Tokyo, Japan",Adventure Tour,2,-0.28,3,0.58,Budget Traveler,Medium
R0063,U4136,"Had problems with the Hotel in New York, USA. Needs improvement.",2024-07-15,"New York, USA",Hotel,2,-0.21,3,0.07,Luxury Seeker,Low
R0064,U2293,"The Transport at Tokyo, Japan was okay. Could be better.",2025-04-04,"Tokyo, Japan",Transport,3,0.23,3,0.66,Family Tourist,Medium
R0065,U6923,"Great Transport experience in Sydney, Australia. A few minor issues but overall satisfied.",2024-09-15,"Sydney, Australia",Transport,4,0.66,1,0.27,Budget Traveler,Medium
R0066,U5700,"Average Restaurant experience in Paris, France. Nothing special.",2024-07-10,"Paris, France",Restaurant,3,0.07,3,0.58,Family Tourist,Medium
R0067,U1536,"Not impressed with the City Tour in Rome, Italy. Several issues encountered.",2025-05-07,"Rome, Italy",City Tour,2,-0.29,2,0.83,Business Traveler,Medium
R0068,U1690,"Fantastic Adventure Tour experience at Paris, France. Highly recommend!",2024-08-03,"Paris, France",Adventure Tour,5,0.97,2,0.94,Solo Traveler,High
R0069,U5350,"Fantastic City Tour experience at New York, USA. Highly recommend!",2025-03-05,"New York, USA",City Tour,5,0.93,4,0.82,Budget Traveler,High
R0070,U5661,"Worst Transport I've had in Rome, Italy. Completely dissatisfied.",2024-07-13,"Rome, Italy",Transport,1,-0.47,3,0.07,Solo Traveler,Low
R0071,U9057,"Terrible City Tour experience in Sydney, Australia. Will not return.",2024-06-08,"Sydney, Australia",City Tour,1,-0.72,5,0.79,Business Traveler,Medium
R0072,U9665,"Average Hotel experience in Tokyo, Japan. Nothing special.",2025-01-06,"Tokyo, Japan",Hotel,3,-0.04,3,0.81,Budget Traveler,Medium
R0073,U6678,"The Adventure Tour at New York, USA was okay. Could be better.",2024-07-20,"New York, USA",Adventure Tour,3,0.38,5,0.73,Luxury Seeker,Medium
R0074,U9293,"Avoid the Restaurant at Paris, France. Very poor service.",2024-12-28,"Paris, France",Restaurant,1,-0.82,3,0.39,Family Tourist,Medium
R0075,U7238,"Disappointing Restaurant experience at Tokyo, Japan. Would not recommend.",2024-08-31,"Tokyo, Japan",Restaurant,2,-0.2,4,0.73,Budget Traveler,Medium
R0076,U7352,"Very good Transport in Rome, Italy. Met most of my expectations.",2024-10-15,"Rome, Italy",Transport,4,0.52,3,0.53,Business Traveler,Medium
R0077,U3213,"The best Hotel I've ever had in New York, USA. Will come back again!",2025-03-02,"New York, USA",Hotel,5,0.83,2,0.69,Solo Traveler,Medium
R0078,U2102,"Enjoyed the Adventure Tour at Rome, Italy. Would recommend to others.",2024-10-14,"Rome, Italy",Adventure Tour,4,0.62,4,0.23,Solo Traveler,Medium
R0079,U4916,"Not impressed with the City Tour in Tokyo, Japan. Several issues encountered.",2024-11-23,"Tokyo, Japan",City Tour,2,-0.32,2,0.51,Luxury Seeker,Medium
R0080,U7210,"Had problems with the Hotel in Rome, Italy. Needs improvement.",2025-03-19,"Rome, Italy",Hotel,2,-0.29,1,0.89,Business Traveler,Medium
R0081,U3262,"Not impressed with the City Tour in Sydney, Australia. Several issues encountered.",2025-03-31,"Sydney, Australia",City Tour,2,-0.19,1,0.2,Budget Traveler,Low
R0082,U3116,"Decent Adventure Tour in Paris, France, but room for improvement.",2024-10-02,"Paris, France",Adventure Tour,3,0.22,1,0.16,Luxury Seeker,Medium
R0083,U5963,"Average Restaurant experience in Tokyo, Japan. Nothing special.",2024-08-10,"Tokyo, Japan",Restaurant,3,0.08,5,0.44,Luxury Seeker,Medium
R0084,U4809,"The best Hotel I've ever had in New York, USA. Will come back again!",2024-11-16,"New York, USA",Hotel,5,0.89,5,0.27,Budget Traveler,Medium
R0085,U3034,"Had problems with the Hotel in New York, USA. Needs improvement.",2025-03-26,"New York, USA",Hotel,2,-0.26,4,0.13,Solo Traveler,Low
R0086,U9889,"Average Restaurant experience in Paris, France. Nothing special.",2024-08-29,"Paris, France",Restaurant,3,-0.09,1,0.44,Budget Traveler,Medium
R0087,U6453,"Disappointing Adventure Tour experience at Rome, Italy. Would not recommend.",2024-12-29,"Rome, Italy",Adventure Tour,2,-0.39,3,0.78,Business Traveler,Medium
R0088,U3561,"Average City Tour experience in New York, USA. Nothing special.",2024-08-11,"New York, USA",City Tour,3,0.12,5,0.67,Family Tourist,Medium
R0089,U3020,"Disappointing Adventure Tour experience at Tokyo, Japan. Would not recommend.",2024-09-18,"Tokyo, Japan",Adventure Tour,2,-0.27,5,0.46,Business Traveler,Medium
R0090,U7705,"The best City Tour I've ever had in Sydney, Australia. Will come back again!",2024-09-25,"Sydney, Australia",City Tour,5,0.91,3,0.33,Business Traveler,Medium
R0091,U7256,"Average Hotel experience in Sydney, Australia. Nothing special.",2024-11-18,"Sydney, Australia",Hotel,3,0.12,2,0.83,Budget Traveler,Medium
R0092,U9489,"Absolutely loved the Restaurant experience in Paris, France. Exceeded all expectations!",2024-10-28,"Paris, France",Restaurant,5,0.85,5,0.07,Solo Traveler,Medium
R0093,U5254,"Great Restaurant experience in Rome, Italy. A few minor issues but overall satisfied.",2025-05-02,"Rome, Italy",Restaurant,4,0.47,5,0.36,Budget Traveler,Medium
R0094,U4630,"Not impressed with the Adventure Tour in Sydney, Australia. Several issues encountered.",2024-10-14,"Sydney, Australia",Adventure Tour,2,-0.26,5,0.1,Solo Traveler,Low
R0095,U5298,"Worst City Tour I've had in New York, USA. Completely dissatisfied.",2024-08-27,"New York, USA",City Tour,1,-0.57,1,0.94,Solo Traveler,Medium
R0096,U4230,"Decent Adventure Tour in New York, USA, but room for improvement.",2024-08-12,"New York, USA",Adventure Tour,3,0.3,5,0.03,Luxury Seeker,Medium
R0097,U2221,"Disappointing Adventure Tour experience at Paris, France. Would not recommend.",2024-08-01,"Paris, France",Adventure Tour,2,-0.23,5,0.18,Luxury Seeker,Low
R0098,U2949,"Very good Adventure Tour in Tokyo, Japan. Met most of my expectations.",2024-09-03,"Tokyo, Japan",Adventure Tour,4,0.51,5,0.47,Luxury Seeker,Medium
R0099,U4091,"The best Transport I've ever had in Sydney, Australia. Will come back again!",2025-01-04,"Sydney, Australia",Transport,5,0.71,2,0.81,Business Traveler,High
R0100,U9619,"Disappointing Restaurant experience at Tokyo, Japan. Would not recommend.",2025-01-19,"Tokyo, Japan",Restaurant,2,-0.24,2,0.55,Budget Traveler,Medium
R0101,U9001,"Great City Tour experience in Rome, Italy. A few minor issues but overall satisfied.",2024-08-08,"Rome, Italy",City Tour,4,0.66,5,0.42,Solo Traveler,Medium
R0102,U2279,"Had problems with the Adventure Tour in Paris, France. Needs improvement.",2025-04-26,"Paris, France",Adventure Tour,2,-0.37,1,0.83,Business Traveler,Medium
R0103,U2342,"Fantastic City Tour experience at New York, USA. Highly recommend!",2025-04-22,"New York, USA",City Tour,5,0.79,3,0.26,Family Tourist,Medium
R0104,U9956,"Had problems with the Hotel in Tokyo, Japan. Needs improvement.",2024-09-21,"Tokyo, Japan",Hotel,2,-0.12,4,0.95,Business Traveler,Medium
R0105,U9198,"Fantastic City Tour experience at Paris, France. Highly recommend!",2025-04-25,"Paris, France",City Tour,5,0.87,2,0.37,Budget Traveler,Medium
R0106,U7173,"Average City Tour experience in New York, USA. Nothing special.",2025-01-28,"New York, USA",City Tour,3,0.07,2,0.41,Family Tourist,Medium
R0107,U7727,"The Restaurant at New York, USA was okay. Could be better.",2024-06-24,"New York, USA",Restaurant,3,-0.04,5,0.05,Luxury Seeker,Medium
R0108,U8001,"Very good Restaurant in New York, USA. Met most of my expectations.",2024-10-11,"New York, USA",Restaurant,4,0.45,4,0.32,Solo Traveler,Medium
R0109,U7078,"Very good Transport in Sydney, Australia. Met most of my expectations.",2025-04-25,"Sydney, Australia",Transport,4,0.64,1,0.16,Budget Traveler,Medium
R0110,U5622,"Fantastic Restaurant experience at Sydney, Australia. Highly recommend!",2025-03-30,"Sydney, Australia",Restaurant,5,0.77,3,0.48,Budget Traveler,Medium
R0111,U3216,"Fantastic Hotel experience at Tokyo, Japan. Highly recommend!",2024-08-15,"Tokyo, Japan",Hotel,5,0.85,1,0.85,Solo Traveler,High
R0112,U7134,"Avoid the City Tour at Sydney, Australia. Very poor service.",2024-05-25,"Sydney, Australia",City Tour,1,-0.84,5,0.23,Budget Traveler,Low
R0113,U9660,"Fantastic Hotel experience at Sydney, Australia. Highly recommend!",2024-09-14,"Sydney, Australia",Hotel,5,0.72,3,0.71,Budget Traveler,High
R0114,U8580,"Great Restaurant experience in Rome, Italy. A few minor issues but overall satisfied.",2024-06-01,"Rome, Italy",Restaurant,4,0.54,2,0.54,Business Traveler,Medium
R0115,U1409,"Average Adventure Tour experience in Paris, France. Nothing special.",2024-06-25,"Paris, France",Adventure Tour,3,0.03,1,0.71,Luxury Seeker,Medium
R0116,U1844,"Very good Restaurant in Rome, Italy. Met most of my expectations.",2024-10-31,"Rome, Italy",Restaurant,4,0.63,2,0.46,Budget Traveler,Medium
R0117,U6333,"The best City Tour I've ever had in New York, USA. Will come back again!",2024-06-30,"New York, USA",City Tour,5,0.79,2,0.53,Budget Traveler,Medium
R0118,U7083,"Very good Adventure Tour in Rome, Italy. Met most of my expectations.",2025-04-01,"Rome, Italy",Adventure Tour,4,0.62,2,0.39,Family Tourist,Medium
R0119,U5276,"Very good Hotel in Sydney, Australia. Met most of my expectations.",2025-03-10,"Sydney, Australia",Hotel,4,0.69,1,0.21,Family Tourist,Medium
R0120,U1477,"Great Restaurant experience in New York, USA. A few minor issues but overall satisfied.",2024-12-30,"New York, USA",Restaurant,4,0.56,5,0.74,Luxury Seeker,High
R0121,U1322,"Decent Adventure Tour in Sydney, Australia, but room for improvement.",2024-10-16,"Sydney, Australia",Adventure Tour,3,0.2,1,0.34,Business Traveler,Medium
R0122,U1042,"Not impressed with the Restaurant in Tokyo, Japan. Several issues encountered.",2025-02-08,"Tokyo, Japan",Restaurant,2,-0.26,3,0.7,Family Tourist,Medium
R0123,U3549,"Avoid the Hotel at Paris, France. Very poor service.",2024-08-26,"Paris, France",Hotel,1,-0.99,3,0.4,Business Traveler,Medium
R0124,U8836,"Disappointing City Tour experience at Tokyo, Japan. Would not recommend.",2024-07-02,"Tokyo, Japan",City Tour,2,-0.36,3,0.12,Luxury Seeker,Low
R0125,U4766,"Worst Restaurant I've had in Tokyo, Japan. Completely dissatisfied.",2024-07-09,"Tokyo, Japan",Restaurant,1,-0.41,2,0.11,Luxury Seeker,Low
R0126,U3115,"Decent City Tour in Tokyo, Japan, but room for improvement.",2024-05-31,"Tokyo, Japan",City Tour,3,-0.02,2,0.61,Business Traveler,Medium
R0127,U3844,"Worst Adventure Tour I've had in Paris, France. Completely dissatisfied.",2025-05-06,"Paris, France",Adventure Tour,1,-0.75,1,0.66,Family Tourist,Medium
R0128,U5797,"Fantastic Restaurant experience at Tokyo, Japan. Highly recommend!",2025-02-23,"Tokyo, Japan",Restaurant,5,0.99,3,0.81,Family Tourist,High
R0129,U7593,"Average Transport experience in New York, USA. Nothing special.",2024-10-20,"New York, USA",Transport,3,-0.01,1,0.43,Business Traveler,Medium
R0130,U1224,"Enjoyed the Hotel at Paris, France. Would recommend to others.",2024-10-28,"Paris, France",Hotel,4,0.44,3,0.33,Family Tourist,Medium
R0131,U3566,"Great City Tour experience in Sydney, Australia. A few minor issues but overall satisfied.",2024-07-07,"Sydney, Australia",City Tour,4,0.61,2,0.35,Solo Traveler,Medium
R0132,U6955,"The Adventure Tour at Paris, France was okay. Could be better.",2024-06-23,"Paris, France",Adventure Tour,3,0.4,2,0.54,Luxury Seeker,Medium
R0133,U9587,"Terrible Transport experience in Rome, Italy. Will not return.",2024-07-20,"Rome, Italy",Transport,1,-0.9,1,0.25,Business Traveler,Low
R0134,U6553,"Avoid the Hotel at Rome, Italy. Very poor service.",2025-04-21,"Rome, Italy",Hotel,1,-0.82,2,0.14,Solo Traveler,Low
R0135,U5970,"Very good Restaurant in New York, USA. Met most of my expectations.",2024-08-31,"New York, USA",Restaurant,4,0.65,3,0.59,Solo Traveler,Medium
R0136,U2042,"Worst Transport I've had in Sydney, Australia. Completely dissatisfied.",2025-03-09,"Sydney, Australia",Transport,1,-0.77,1,0.04,Solo Traveler,Low
R0137,U4578,"Enjoyed the Hotel at Paris, France. Would recommend to others.",2025-04-26,"Paris, France",Hotel,4,0.59,2,0.91,Business Traveler,High
R0138,U7377,"Decent Adventure Tour in Paris, France, but room for improvement.",2025-04-26,"Paris, France",Adventure Tour,3,-0.04,3,0.16,Business Traveler,Medium
R0139,U6296,"Fantastic Transport experience at Sydney, Australia. Highly recommend!",2025-02-21,"Sydney, Australia",Transport,5,0.79,5,0.55,Luxury Seeker,Medium
R0140,U4208,"The best Adventure Tour I've ever had in Tokyo, Japan. Will come back again!",2024-08-01,"Tokyo, Japan",Adventure Tour,5,0.86,4,0.28,Business Traveler,Medium
R0141,U9960,"Worst Hotel I've had in Sydney, Australia. Completely dissatisfied.",2024-06-09,"Sydney, Australia",Hotel,1,-0.7,5,0.76,Budget Traveler,Medium
R0142,U9532,"Not impressed with the Restaurant in Rome, Italy. Several issues encountered.",2024-07-21,"Rome, Italy",Restaurant,2,-0.12,4,0.47,Budget Traveler,Medium
R0143,U3198,"Worst Transport I've had in Tokyo, Japan. Completely dissatisfied.",2024-07-15,"Tokyo, Japan",Transport,1,-0.89,5,0.3,Solo Traveler,Medium
R0144,U4243,"Enjoyed the City Tour at New York, USA. Would recommend to others.",2025-03-12,"New York, USA",City Tour,4,0.55,5,0.24,Family Tourist,Medium
R0145,U5505,"Absolutely loved the Adventure Tour experience in Paris, France. Exceeded all expectations!",2025-02-28,"Paris, France",Adventure Tour,5,0.98,5,0.13,Business Traveler,Medium
R0146,U2945,"Great Adventure Tour experience in New York, USA. A few minor issues but overall satisfied.",2025-01-31,"New York, USA",Adventure Tour,4,0.64,1,0.13,Solo Traveler,Medium
R0147,U2981,"Disappointing City Tour experience at Rome, Italy. Would not recommend.",2024-09-08,"Rome, Italy",City Tour,2,-0.16,4,0.75,Budget Traveler,Medium
R0148,U2344,"Enjoyed the City Tour at Tokyo, Japan. Would recommend to others.",2024-05-29,"Tokyo, Japan",City Tour,4,0.42,2,0.56,Luxury Seeker,Medium
R0149,U1291,"Avoid the Hotel at Sydney, Australia. Very poor service.",2024-07-10,"Sydney, Australia",Hotel,1,-0.9,3,0.7,Luxury Seeker,Medium
R0150,U2555,"Disappointing Restaurant experience at Paris, France. Would not recommend.",2025-04-18,"Paris, France",Restaurant,2,-0.27,3,0.21,Luxury Seeker,Low
R0151,U7300,"The Adventure Tour at Tokyo, Japan was okay. Could be better.",2024-10-18,"Tokyo, Japan",Adventure Tour,3,0.11,4,0.02,Budget Traveler,Medium
R0152,U9078,"Fantastic Transport experience at Tokyo, Japan. Highly recommend!",2025-05-02,"Tokyo, Japan",Transport,5,0.76,2,0.39,Solo Traveler,Medium
R0153,U1358,"Disappointing Adventure Tour experience at New York, USA. Would not recommend.",2024-09-17,"New York, USA",Adventure Tour,2,-0.18,5,0.38,Family Tourist,Medium
R0154,U8934,"Terrible Hotel experience in Sydney, Australia. Will not return.",2025-02-05,"Sydney, Australia",Hotel,1,-0.82,2,0.9,Family Tourist,Medium
R0155,U5996,"Had problems with the Adventure Tour in Tokyo, Japan. Needs improvement.",2025-02-08,"Tokyo, Japan",Adventure Tour,2,-0.27,4,0.29,Business Traveler,Low
R0156,U2342,"Decent Transport in Rome, Italy, but room for improvement.",2025-01-18,"Rome, Italy",Transport,3,0.33,1,0.51,Business Traveler,Medium
R0157,U4036,"Great Transport experience in Paris, France. A few minor issues but overall satisfied.",2024-05-15,"Paris, France",Transport,4,0.45,1,0.28,Solo Traveler,Medium
R0158,U9925,"Very good Adventure Tour in Sydney, Australia. Met most of my expectations.",2024-09-28,"Sydney, Australia",Adventure Tour,4,0.59,1,0.37,Business Traveler,Medium
R0159,U8063,"Not impressed with the City Tour in Paris, France. Several issues encountered.",2024-07-24,"Paris, France",City Tour,2,-0.12,4,0.49,Budget Traveler,Medium
R0160,U6267,"The best Adventure Tour I've ever had in Tokyo, Japan. Will come back again!",2025-03-30,"Tokyo, Japan",Adventure Tour,5,0.72,2,0.14,Budget Traveler,Medium
R0161,U3770,"Very good Transport in Rome, Italy. Met most of my expectations.",2024-06-07,"Rome, Italy",Transport,4,0.65,1,0.77,Solo Traveler,High
R0162,U5278,"Worst Transport I've had in Tokyo, Japan. Completely dissatisfied.",2024-08-05,"Tokyo, Japan",Transport,1,-0.42,5,0.44,Budget Traveler,Medium
R0163,U6247,"Decent Transport in Tokyo, Japan, but room for improvement.",2024-09-07,"Tokyo, Japan",Transport,3,0.16,5,0.32,Family Tourist,Medium
R0164,U4754,"Decent Hotel in New York, USA, but room for improvement.",2024-07-08,"New York, USA",Hotel,3,0.21,2,0.35,Family Tourist,Medium
R0165,U9187,"Absolutely loved the Hotel experience in New York, USA. Exceeded all expectations!",2025-01-19,"New York, USA",Hotel,5,0.76,3,0.97,Family Tourist,High
R0166,U7829,"Worst Adventure Tour I've had in Sydney, Australia. Completely dissatisfied.",2024-07-26,"Sydney, Australia",Adventure Tour,1,-0.97,2,1.0,Solo Traveler,Medium
R0167,U8931,"The Adventure Tour at Paris, France was okay. Could be better.",2024-12-08,"Paris, France",Adventure Tour,3,0.4,3,0.38,Solo Traveler,Medium
